person1Ssn,person2Ssn
445-11-1710,218-16-2258
526-90-9805,258-58-5919
565-20-6386,912-37-2649
476-86-8597,719-97-6182
977-37-6600,119-92-3685
774-57-1623,746-61-3675
397-77-9823,528-53-7880
373-89-2565,887-78-9034
259-93-1397,115-54-8438
785-32-5754,291-20-4811
808-44-7848,392-17-5344
779-72-3601,427-17-1449
331-52-9917,890-17-5456
585-72-2670,480-92-2052
902-20-6053,874-68-5921
983-43-8286,785-12-6255
102-15-9324,886-54-1106
924-60-9566,522-88-1242
812-60-7824,443-27-9662
954-25-5756,935-66-2575
843-16-5058,733-88-7802
786-14-2613,845-63-3412
116-97-3682,798-34-8213
844-34-8392,512-91-9681
796-11-6116,983-92-6139
199-60-3215,149-22-4125
671-14-4742,280-81-9352
421-34-9477,674-44-3893
865-52-1955,832-12-8470
211-26-3342,561-41-6568
997-21-2942,407-38-9945
772-15-4764,670-45-2192
546-57-6991,815-72-4121
695-30-7050,561-68-6953
823-81-8266,316-42-8794
999-62-6447,931-84-4021
273-72-1465,316-58-2163
987-98-9749,140-64-1702
945-87-8882,227-47-4066
100-71-9716,357-22-4523
845-70-5919,579-52-9517
977-19-5352,204-25-6303
320-94-6723,533-43-3752
228-59-5422,324-87-4755
286-99-2529,479-54-4721
884-43-4985,526-16-4971
823-66-4250,916-11-8024
946-82-6026,174-13-3089
212-69-5995,636-81-6780
856-49-1707,661-28-9972
290-29-9660,102-82-4450
984-38-4418,130-92-6010
716-92-6576,254-16-8196
658-62-4858,132-76-6371
388-43-3559,236-38-7376
828-25-6607,217-54-4287
756-58-8977,497-27-5664
347-70-4723,435-92-2218
424-71-5733,252-87-4109
300-76-1550,735-56-9646
611-52-8383,944-53-3445
238-80-1667,790-86-6411
940-57-5741,950-15-7541
838-99-6723,360-89-7416
990-40-4012,233-17-3978
900-32-4343,963-59-2395
378-85-3942,588-54-6712
612-78-4621,357-46-6805
864-65-8457,828-21-6538
377-36-4473,953-67-1852
374-87-9653,860-28-3156
203-40-8471,595-20-4110
498-91-4274,229-56-8445
848-64-5668,356-12-2542
138-76-8601,402-83-1628
551-43-4696,249-87-4199
260-24-8833,571-51-2816
971-93-9331,897-77-8261
633-98-7031,843-85-9589
626-37-2086,240-26-3289
595-14-4655,908-73-3408
391-69-7247,255-20-4620
419-77-8333,215-48-1605
619-16-3505,561-66-8074
862-94-2929,842-93-4771
810-27-7209,724-33-4918
856-84-5262,226-31-9577
416-93-9186,367-97-7842
580-75-6880,770-35-6622
457-22-1726,466-75-7325
650-21-6063,558-18-1409
587-26-9280,837-10-4296
251-96-6844,624-20-1920
632-65-7503,949-30-5741
954-37-1623,286-50-7727
348-50-1870,340-87-9762
761-47-2547,487-33-5223
610-34-8024,668-57-5262
597-90-3167,120-41-2062
840-18-6563,537-66-7138
115-59-1251,498-17-2569
799-19-6654,280-69-5896
644-54-1801,127-47-5747
344-91-3592,867-16-9534
143-21-2837,402-86-6602
791-30-7555,701-13-8488
466-27-9135,536-53-9768
922-57-1871,366-91-2730
622-18-1003,796-73-8425
678-56-6223,913-44-8420
148-29-4512,801-51-8720
921-61-1333,856-22-8356
199-66-8824,375-63-2301
234-60-8460,984-61-2130
546-90-7609,981-25-9258
971-45-4494,326-17-4893
692-95-5494,952-42-7540
529-92-7312,698-24-7652
606-96-5880,701-18-3941
787-55-5382,268-81-5119
933-57-6974,923-76-8298
763-23-9185,880-42-2309
846-55-3614,100-72-6285
987-61-4660,306-16-1003
872-89-4432,867-65-7028
551-63-2178,628-77-3924
257-31-4498,609-94-5371
334-56-2436,942-52-3323
791-55-2617,869-88-4672
468-42-8813,904-88-4337
296-77-5430,240-67-9833
845-74-3271,511-65-3187
142-63-5308,820-11-2842
395-22-7840,128-63-9961
689-18-1870,814-95-8381
162-95-2002,119-48-3965
108-22-3118,298-38-2306
998-45-8776,986-91-6665
140-57-1495,983-23-7646
421-11-2124,337-73-6661
678-80-8012,568-83-2082
652-47-3990,393-18-4277
564-18-1403,115-79-9412
406-48-8989,983-30-8038
715-68-4077,303-20-4307
411-21-3780,290-90-9945
511-96-8150,724-52-5571
790-39-9501,312-23-1748
884-46-4814,800-62-3178
681-39-9653,164-52-4821
501-86-9500,578-62-3181
139-52-9149,417-38-7243
597-55-5842,900-23-4582
396-97-5353,983-52-7627
428-57-1348,435-57-6715
699-48-1665,865-73-7318
178-60-5569,919-51-4106
605-79-3958,392-48-6270
539-28-3618,978-45-4510
149-95-7733,928-10-3377
698-42-2274,307-56-2771
337-25-1766,435-91-4132
532-73-6664,421-14-5204
319-62-8258,437-34-1973
810-44-2600,198-82-6293
763-90-9291,222-84-5728
123-71-1011,960-18-8257
235-84-3888,593-46-4852
999-92-6319,645-42-2194
177-50-1508,703-21-1944
409-23-2344,393-93-8463
769-35-6818,584-32-9094
135-67-2683,283-54-6262
405-71-4201,994-21-7688
337-77-3667,843-24-2352
354-30-3872,573-53-5110
607-92-9992,705-47-8674
612-68-9447,570-32-8393
796-32-1222,482-27-6265
634-55-5677,685-75-8134
360-26-7558,997-28-7808
404-48-3742,182-44-5818
574-16-6866,654-53-6678
308-92-2682,288-84-1667
340-41-2329,889-53-1951
926-77-2039,942-32-6064
465-66-4098,811-78-2430
229-69-1385,175-45-1810
914-69-6648,470-64-4554
389-65-4188,551-92-1980
557-24-4089,237-86-1737
864-91-2524,741-42-5849
809-58-4199,533-10-9270
101-62-3248,704-32-8640
967-97-2238,572-90-9411
536-33-6864,347-31-9297
808-14-8485,354-62-4236
544-50-5349,405-89-6467
886-69-1731,382-77-1523
970-41-4108,247-99-1789
171-91-4833,283-46-8071
160-94-6840,515-54-5185
744-93-2505,967-95-4576
855-78-2619,649-65-7145
